case_id,worker,region_block,prefecture,case_type,user_profile,channel_entry,difficulty,executed,audited,duplicate_flag,failure_category,severity,retry_required,notes
W1-001,W1,北海道・東北,青森,standard,第二新卒,LP→LINE,標準,no,no,no,,,no,
W1-002,W1,北海道・東北,北海道,standard,ベテラン(10年+),再来訪,標準,no,no,no,,,no,
W1-003,W1,北海道・東北,青森,standard,夜勤制限,広告→LINE,標準,no,no,no,,,no,
W1-004,W1,北海道・東北,福島,standard,非常勤希望,紹介,標準,no,no,no,,,no,
W1-005,W1,北海道・東北,秋田,standard,クリニック志向,深夜流入,標準,no,no,no,,,no,
W1-006,W1,北海道・東北,秋田,standard,第二新卒,LP→LINE,標準,no,no,no,,,no,
W1-007,W1,北海道・東北,山形,standard,ベテラン(10年+),再来訪,標準,no,no,no,,,no,
W1-008,W1,北海道・東北,岩手,standard,夜勤制限,広告→LINE,標準,no,no,no,,,no,
W1-009,W1,北海道・東北,北海道,standard,非常勤希望,紹介,標準,no,no,no,,,no,
W1-010,W1,北海道・東北,福島,standard,クリニック志向,深夜流入,標準,no,no,no,,,no,
W1-011,W1,北海道・東北,宮城,standard,第二新卒,LP→LINE,標準,no,no,no,,,no,
W1-012,W1,北海道・東北,山形,standard,ベテラン(10年+),再来訪,標準,no,no,no,,,no,
W1-013,W1,北海道・東北,秋田,standard,夜勤制限,広告→LINE,標準,no,no,no,,,no,
W1-014,W1,北海道・東北,宮城,standard,非常勤希望,紹介,標準,no,no,no,,,no,
W1-015,W1,北海道・東北,岩手,standard,クリニック志向,深夜流入,標準,no,no,no,,,no,
W1-016,W1,北海道・東北,福島,standard,第二新卒,LP→LINE,標準,no,no,no,,,no,
W1-017,W1,北海道・東北,福島,standard,ベテラン(10年+),再来訪,標準,no,no,no,,,no,
W1-018,W1,北海道・東北,秋田,standard,夜勤制限,広告→LINE,標準,no,no,no,,,no,
W1-019,W1,北海道・東北,岩手,standard,非常勤希望,紹介,標準,no,no,no,,,no,
W1-020,W1,北海道・東北,秋田,standard,クリニック志向,深夜流入,標準,no,no,no,,,no,
W1-021,W1,北海道・東北,宮城,standard,第二新卒,LP→LINE,標準,no,no,no,,,no,
W1-022,W1,北海道・東北,山形,standard,ベテラン(10年+),再来訪,標準,no,no,no,,,no,
W1-023,W1,北海道・東北,北海道,standard,夜勤制限,広告→LINE,標準,no,no,no,,,no,
W1-024,W1,北海道・東北,山形,standard,非常勤希望,紹介,標準,no,no,no,,,no,
W1-025,W1,北海道・東北,宮城,standard,クリニック志向,深夜流入,標準,no,no,no,,,no,
W1-026,W1,北海道・東北,宮城,standard,第二新卒,LP→LINE,標準,no,no,no,,,no,
